age,education,gender,hours-per-week,earning
27,5,0,40, <=50K
20,10,0,35, <=50K
44,9,1,40, <=50K
51,9,0,40, <=50K
20,9,0,40, <=50K
17,7,1,5, <=50K
19,9,1,40, <=50K
45,10,0,55, >50K
60,9,0,40, >50K
42,12,0,40, >50K
44,9,1,40, >50K
40,11,0,40, >50K
30,9,1,40, <=50K
38,10,0,50, <=50K
23,9,0,60, <=50K
32,10,0,40, <=50K
44,12,0,40, <=50K
54,9,0,40, <=50K
32,13,0,50, <=50K
50,2,0,40, <=50K
24,13,1,20, <=50K
37,9,1,60, <=50K
52,9,0,40, <=50K
38,10,0,40, <=50K
49,14,0,45, >50K
30,13,1,16, >50K
60,10,0,40, >50K
22,10,0,40, <=50K
35,9,0,40, <=50K
30,9,0,60, <=50K
67,11,1,24, <=50K
46,13,1,40, <=50K
17,5,0,6, <=50K
22,10,0,30, <=50K
27,6,0,40, <=50K
23,9,1,35, <=50K
33,12,0,45, <=50K
43,10,0,20, <=50K
28,13,0,20, <=50K
41,9,1,40, <=50K
52,8,0,40, <=50K
25,10,1,20, <=50K
63,2,0,35, <=50K
59,9,0,45, <=50K
45,13,1,40, <=50K
38,13,0,60, >50K
40,9,1,35, <=50K
46,9,0,40, <=50K
35,12,1,60, <=50K
34,9,1,25, <=50K
33,13,0,20, <=50K
41,9,1,36, <=50K
20,10,0,40, <=50K
23,3,0,40, <=50K
26,10,1,35, <=50K
72,9,0,20, <=50K
23,9,0,40, <=50K
62,9,0,40, <=50K
52,10,0,40, <=50K
58,10,1,42, <=50K
25,13,1,40, <=50K
24,13,0,40, <=50K
19,10,0,8, <=50K
43,10,0,40, <=50K
47,9,1,40, <=50K
39,9,1,40, <=50K
49,11,0,42, <=50K
53,3,1,30, <=50K
32,11,0,45, <=50K
34,10,0,50, >50K
28,9,0,45, <=50K
57,11,1,38, <=50K
25,10,1,20, <=50K
20,10,0,24, <=50K
21,10,1,35, <=50K
34,13,0,50, >50K
38,13,0,80, >50K
50,9,0,50, >50K
24,10,0,50, <=50K
37,10,0,45, >50K
44,10,0,58, >50K
28,10,1,40, <=50K
42,13,0,40, >50K
74,10,1,9, <=50K
38,9,0,50, <=50K
44,14,0,40, <=50K
44,7,1,46, <=50K
26,9,0,40, <=50K
36,9,0,40, <=50K
41,12,1,50, >50K
67,15,0,48, >50K
39,8,0,50, <=50K
57,2,1,30, <=50K
29,11,0,40, <=50K
31,13,1,45, <=50K
34,9,1,40, <=50K
44,10,0,40, <=50K
29,16,0,40, <=50K
30,10,1,40, <=50K
27,9,0,40, <=50K
27,10,0,50, <=50K
32,9,1,45, <=50K
58,6,1,8, <=50K
35,10,0,40, <=50K
21,9,0,36, <=50K
28,10,0,40, <=50K
46,10,0,50, <=50K
36,9,1,40, <=50K
72,7,1,40, <=50K
35,9,1,40, <=50K
33,11,1,40, >50K
69,7,1,40, <=50K
35,9,0,40, <=50K
31,9,1,20, <=50K
34,9,1,32, <=50K
30,7,0,40, <=50K
28,13,0,55, <=50K
54,13,0,35, >50K
47,10,0,50, >50K
24,9,1,40, <=50K
52,13,0,60, >50K
20,9,0,48, <=50K
43,14,0,45, <=50K
45,4,1,40, <=50K
29,9,0,35, <=50K
47,14,0,42, <=50K
24,9,0,40, <=50K
51,9,0,40, <=50K
17,7,0,12, <=50K
37,11,0,40, >50K
27,16,1,70, <=50K
29,13,0,40, >50K
18,8,0,25, <=50K
36,12,1,35, <=50K
58,13,1,40, <=50K
26,10,0,45, <=50K
65,10,0,30, >50K
57,9,0,40, >50K
59,9,0,40, <=50K
27,9,0,40, <=50K
31,13,0,40, <=50K
21,10,1,24, <=50K
29,10,0,60, <=50K
18,7,0,40, <=50K
52,6,0,47, >50K
57,13,0,80, <=50K
42,9,0,40, <=50K
55,9,1,40, <=50K
60,4,0,48, >50K
31,13,0,40, >50K
23,13,1,40, <=50K
27,9,0,40, <=50K
23,10,1,25, <=50K
42,15,0,50, >50K
25,10,0,40, <=50K
49,13,1,45, <=50K
32,13,0,40, <=50K
19,10,0,28, <=50K
60,4,1,40, <=50K
42,5,0,40, <=50K
35,12,0,40, <=50K
48,9,1,37, <=50K
51,14,0,40, >50K
29,9,0,40, <=50K
36,9,0,40, <=50K
17,6,1,21, <=50K
52,14,1,60, <=50K
24,9,0,40, <=50K
24,9,0,50, <=50K
26,13,0,40, <=50K
27,13,1,20, <=50K
39,9,0,60, <=50K
30,9,0,45, <=50K
50,9,0,32, <=50K
52,13,0,55, <=50K
46,15,0,45, >50K
23,13,1,20, <=50K
45,7,1,20, <=50K
65,5,1,24, <=50K
29,11,0,55, <=50K
47,5,0,40, <=50K
30,9,0,60, <=50K
34,9,0,45, >50K
38,9,0,64, <=50K
33,10,0,40, >50K
49,13,0,26, >50K
47,10,1,40, <=50K
49,6,1,40, <=50K
43,10,0,60, >50K
30,13,1,40, >50K
58,9,0,60, <=50K
19,9,1,14, <=50K
21,13,0,40, <=50K
33,13,0,60, >50K
47,3,0,50, <=50K
52,16,0,60, >50K
26,9,0,55, <=50K
60,9,0,40, <=50K
21,10,0,40, <=50K
36,10,0,50, >50K
31,10,0,45, <=50K
50,16,0,40, >50K
31,9,1,40, <=50K
71,9,0,15, <=50K
58,9,0,50, <=50K
30,13,0,40, >50K
20,10,0,20, <=50K
24,9,0,50, <=50K
35,16,0,40, >50K
38,10,1,45, <=50K
27,9,1,32, <=50K
29,10,1,40, <=50K
70,5,1,15, <=50K
34,9,0,45, <=50K
44,4,0,35, <=50K
43,9,0,40, >50K
44,8,0,40, >50K
35,14,0,60, <=50K
27,10,0,40, <=50K
43,14,0,38, <=50K
20,10,1,25, <=50K
42,12,1,40, >50K
27,10,0,40, <=50K
42,9,0,40, >50K
20,7,1,40, <=50K
24,5,0,40, <=50K
48,10,0,40, <=50K
17,7,1,20, <=50K
17,7,0,10, <=50K
33,13,0,40, >50K
50,9,0,50, >50K
22,9,1,40, <=50K
17,8,0,16, <=50K
32,10,0,40, <=50K
31,9,0,45, <=50K
58,9,0,50, <=50K
29,9,0,48, <=50K
37,11,0,40, >50K
34,9,0,40, >50K
23,10,0,40, <=50K
18,7,1,5, <=50K
34,9,1,40, <=50K
66,4,0,4, <=50K
45,13,1,55, <=50K
41,14,0,35, <=50K
26,9,0,30, <=50K
54,10,0,40, <=50K
24,10,1,45, <=50K
42,10,0,50, <=50K
20,10,0,20, <=50K
23,13,1,20, <=50K
25,12,0,45, <=50K
35,14,0,60, >50K
31,14,0,40, >50K
30,13,1,40, <=50K
19,9,1,20, <=50K
36,13,0,50, <=50K
31,13,1,40, <=50K
21,10,0,30, <=50K
31,10,0,40, <=50K
46,16,1,65, >50K
44,13,1,50, >50K
40,8,0,40, <=50K
45,10,0,40, <=50K
60,9,0,35, <=50K
18,7,0,25, <=50K
28,13,0,40, <=50K
36,10,1,40, <=50K
36,13,0,40, <=50K
40,11,0,40, <=50K
36,13,1,35, <=50K
31,9,1,40, <=50K
33,9,0,40, <=50K
19,9,1,40, <=50K
22,10,1,15, <=50K
34,13,0,45, >50K
33,9,0,40, <=50K
41,9,0,60, <=50K
29,13,0,40, <=50K
50,9,0,42, >50K
42,13,0,45, >50K
43,13,0,40, >50K
44,9,1,40, <=50K
20,10,1,20, <=50K
31,9,0,40, <=50K
65,7,0,59, >50K
23,10,1,24, <=50K
55,10,1,40, <=50K
26,11,0,45, <=50K
25,11,1,15, <=50K
45,10,1,40, <=50K
35,10,0,40, <=50K
36,10,1,36, <=50K
43,13,0,50, <=50K
56,9,1,20, <=50K
42,13,0,40, >50K
19,10,1,25, <=50K
55,9,0,72, <=50K
42,14,1,50, >50K
26,11,0,40, <=50K
17,8,0,20, <=50K
42,13,1,40, >50K
55,9,0,40, >50K
32,10,1,40, <=50K
29,7,0,40, <=50K
46,13,0,37, <=50K
29,13,0,40, >50K
22,13,0,20, <=50K
58,6,0,40, <=50K
23,9,0,50, <=50K
39,9,0,40, <=50K
27,11,0,38, <=50K
54,9,0,40, >50K
33,13,1,45, <=50K
46,9,1,40, >50K
37,9,0,40, <=50K
36,9,1,18, <=50K
59,9,1,38, >50K
34,9,0,40, <=50K
53,16,0,70, >50K
51,13,0,55, >50K
32,6,1,42, <=50K
31,10,0,40, <=50K
22,10,1,30, <=50K
47,13,1,50, <=50K
32,9,0,40, <=50K
26,10,1,38, <=50K
37,3,0,32, <=50K
31,9,0,55, <=50K
37,11,1,24, >50K
55,9,0,38, <=50K
23,11,0,56, <=50K
36,10,1,40, <=50K
34,14,0,40, <=50K
43,13,0,50, >50K
54,10,0,40, <=50K
43,10,0,40, <=50K
28,11,1,42, <=50K
40,11,0,50, >50K
41,10,0,60, <=50K
40,13,1,55, >50K
42,10,1,38, <=50K
61,9,0,50, <=50K
18,8,0,30, <=50K
59,9,0,16, <=50K
21,9,1,40, <=50K
48,11,0,50, >50K
41,13,0,40, <=50K
18,10,0,33, <=50K
23,9,1,40, <=50K
60,9,0,60, >50K
22,10,0,20, <=50K
61,9,0,40, <=50K
25,9,0,40, <=50K
46,14,0,35, >50K
43,13,0,40, >50K
43,12,0,40, <=50K
24,9,0,30, <=50K
68,7,0,20, <=50K
31,9,1,38, <=50K
17,7,1,20, <=50K
32,9,0,48, >50K
50,14,0,40, <=50K
33,13,0,47, >50K
64,13,0,40, >50K
20,9,0,30, <=50K
30,9,1,36, <=50K
22,10,0,40, <=50K
43,10,0,45, <=50K
22,10,0,40, <=50K
17,6,0,20, <=50K
47,9,1,75, <=50K
41,11,1,60, <=50K
56,10,0,50, >50K
64,9,0,45, <=50K
47,9,0,50, >50K
48,11,0,40, <=50K
31,14,1,46, <=50K
29,11,0,40, <=50K
30,9,1,40, <=50K
32,9,0,60, <=50K
57,9,0,42, >50K
62,9,1,40, <=50K
39,9,1,24, <=50K
43,10,0,25, <=50K
24,13,0,40, <=50K
42,7,0,15, <=50K
53,10,1,40, >50K
26,10,0,40, <=50K
73,9,0,40, <=50K
72,7,1,24, <=50K
55,9,0,40, <=50K
25,9,0,40, <=50K
41,13,1,50, >50K
24,13,0,50, <=50K
63,9,0,6, <=50K
17,7,0,20, <=50K
35,10,0,50, <=50K
51,10,0,40, >50K
62,13,1,48, <=50K
55,9,0,40, >50K
43,10,0,40, <=50K
40,9,1,50, <=50K
37,13,0,45, >50K
39,13,0,40, <=50K
31,9,0,18, <=50K
61,14,1,40, >50K
26,11,1,55, <=50K
46,9,0,50, <=50K
26,13,1,40, <=50K
48,16,0,50, >50K
34,9,0,40, <=50K
34,9,1,40, <=50K
59,9,0,40, >50K
34,13,1,40, <=50K
49,13,1,56, >50K
18,7,1,20, <=50K
43,9,0,40, <=50K
48,7,0,50, <=50K
28,10,0,70, <=50K
33,9,0,40, <=50K
24,10,1,15, <=50K
21,6,0,40, <=50K
17,7,0,28, <=50K
39,10,0,50, >50K
29,13,0,40, <=50K
44,13,0,40, >50K
24,10,0,50, <=50K
71,14,0,40, >50K
51,13,0,40, >50K
55,3,0,25, <=50K
41,13,0,60, >50K
23,9,1,7, <=50K
38,11,1,40, <=50K
39,9,0,40, >50K
19,9,1,30, <=50K
49,5,1,40, <=50K
32,13,0,40, >50K
27,9,0,70, <=50K
38,13,0,50, >50K
33,10,1,60, <=50K
63,10,0,15, <=50K
23,13,0,28, <=50K
33,10,0,60, <=50K
54,9,0,40, <=50K
29,11,1,45, <=50K
48,10,1,30, <=50K
35,13,0,40, <=50K
28,11,1,40, <=50K
37,13,0,50, >50K
42,15,0,65, >50K
40,14,0,40, <=50K
47,10,0,55, <=50K
22,13,1,50, <=50K
30,13,0,45, >50K
28,9,0,40, <=50K
63,4,0,55, <=50K
51,5,0,20, <=50K
22,9,1,40, <=50K
27,12,0,40, <=50K
35,9,0,45, <=50K
46,9,1,38, <=50K
37,10,0,52, <=50K
24,13,0,15, <=50K
37,9,0,10, <=50K
53,10,0,40, <=50K
27,9,0,30, <=50K
38,10,0,44, <=50K
53,6,0,60, <=50K
34,10,0,40, <=50K
23,9,0,40, <=50K
39,13,0,45, >50K
43,14,1,50, <=50K
67,9,0,40, >50K
81,9,0,30, <=50K
21,10,0,20, <=50K
23,10,0,25, <=50K
25,10,0,40, <=50K
42,3,1,38, <=50K
38,10,1,40, <=50K
64,9,0,5, <=50K
32,9,0,40, <=50K
37,9,0,40, <=50K
51,14,0,60, >50K
22,10,1,42, <=50K
33,2,1,40, <=50K
42,9,0,55, <=50K
19,10,1,10, <=50K
51,1,0,40, <=50K
23,9,1,40, <=50K
37,7,0,44, >50K
37,9,0,99, >50K
47,14,1,25, <=50K
41,15,0,40, >50K
33,9,0,30, <=50K
31,13,0,40, >50K
31,12,1,40, <=50K
35,9,0,40, <=50K
38,9,0,40, >50K
18,9,1,45, <=50K
20,9,0,40, <=50K
54,10,1,35, <=50K
40,10,1,40, <=50K
36,13,1,45, >50K
43,10,0,35, <=50K
44,10,0,40, <=50K
44,9,1,40, >50K
43,14,0,43, >50K
51,4,1,40, <=50K
18,9,1,20, <=50K
51,10,0,40, <=50K
41,6,0,30, <=50K
44,10,0,70, >50K
33,6,0,40, <=50K
33,13,0,40, >50K
42,12,0,40, >50K
25,10,0,45, <=50K
32,9,1,38, <=50K
32,13,0,70, <=50K
36,6,1,40, <=50K
28,9,0,40, <=50K
20,9,1,20, <=50K
35,10,0,60, >50K
55,9,0,20, <=50K
48,13,0,40, >50K
36,11,1,20, <=50K
34,9,0,35, >50K
28,13,1,35, <=50K
67,13,0,40, >50K
37,9,0,40, <=50K
44,9,0,70, <=50K
25,10,1,40, <=50K
21,10,1,40, <=50K
40,14,0,35, >50K
78,9,1,40, <=50K
34,9,0,40, <=50K
49,9,1,44, <=50K
22,12,1,40, <=50K
23,9,1,40, <=50K
60,9,0,42, <=50K
45,9,0,40, >50K
63,11,1,20, <=50K
41,9,1,35, <=50K
47,9,1,40, <=50K
44,9,0,40, <=50K
51,10,1,40, <=50K
46,13,0,40, <=50K
41,11,0,40, <=50K
50,9,0,30, <=50K
47,9,0,50, >50K
35,9,0,45, <=50K
56,9,0,55, >50K
45,14,0,45, <=50K
48,13,0,58, >50K
40,10,0,40, <=50K
39,13,0,50, >50K
20,10,0,40, <=50K
50,16,0,65, >50K
38,9,1,40, >50K
23,13,1,60, <=50K
31,9,0,16, <=50K
58,13,0,40, <=50K
66,9,0,40, <=50K
39,9,0,40, >50K
54,9,0,52, >50K
26,10,0,50, <=50K
51,9,1,40, <=50K
34,11,0,40, <=50K
50,9,0,40, >50K
42,10,0,44, >50K
38,14,0,25, <=50K
48,4,0,40, <=50K
33,11,1,40, >50K
51,9,1,32, <=50K
22,9,0,40, <=50K
19,9,0,30, <=50K
41,10,0,50, <=50K
48,14,0,35, >50K
42,9,1,30, <=50K
34,10,0,40, <=50K
23,9,1,40, <=50K
56,9,0,50, <=50K
30,13,0,45, <=50K
45,9,0,55, >50K
48,6,1,40, <=50K
48,14,0,50, <=50K
31,11,1,40, <=50K
20,12,0,20, <=50K
27,10,0,40, <=50K
32,9,1,40, <=50K
76,4,0,2, <=50K
19,9,0,40, <=50K
66,5,0,1, <=50K
37,9,0,75, <=50K
34,9,1,30, <=50K
34,7,1,8, <=50K
90,9,1,40, <=50K
23,10,1,40, <=50K
43,10,1,40, <=50K
44,13,0,60, >50K
24,10,1,37, <=50K
28,15,0,55, <=50K
64,12,1,20, <=50K
23,10,0,40, <=50K
20,10,1,50, <=50K
36,13,0,50, >50K
61,9,0,40, <=50K
53,13,0,40, >50K
30,13,0,40, >50K
52,10,0,55, >50K
38,10,0,40, <=50K
32,13,0,40, <=50K
30,8,0,75, <=50K
41,11,1,40, <=50K
49,14,0,40, >50K
45,9,0,47, >50K
43,9,0,35, <=50K
61,9,0,40, <=50K
54,9,0,32, <=50K
34,12,1,40, <=50K
49,10,0,80, >50K
38,10,0,40, <=50K
35,15,0,80, >50K
36,8,0,40, <=50K
30,13,0,50, <=50K
36,12,1,60, <=50K
22,13,1,20, <=50K
38,9,0,40, >50K
37,9,0,50, >50K
48,16,1,46, >50K
17,7,0,15, <=50K
19,10,0,20, <=50K
27,13,1,40, <=50K
22,13,0,50, <=50K
49,9,0,40, <=50K
43,11,1,40, >50K
43,13,1,40, <=50K
19,9,1,35, <=50K
58,9,0,60, <=50K
41,10,0,40, >50K
31,10,0,40, <=50K
30,11,0,40, <=50K
32,9,0,40, <=50K
29,13,0,35, <=50K
42,10,0,52, >50K
38,9,0,28, <=50K
41,12,0,40, >50K
44,13,0,50, >50K
31,16,0,60, <=50K
34,9,0,40, <=50K
