ID,age,education,gender,hours-per-week
186,38,9,0,70
187,27,13,0,40
188,25,12,0,40
189,49,10,0,50
190,21,10,0,30
191,22,10,0,24
192,19,9,1,40
193,51,9,0,40
194,52,9,0,40
195,29,9,0,35
196,19,10,1,30
197,33,3,0,40
198,75,13,0,24
199,22,11,1,40
200,19,10,0,24
201,60,9,1,40
202,53,10,1,40
203,33,10,0,50
204,46,13,0,45
205,45,13,0,40
206,29,10,0,45
207,29,10,1,26
208,40,10,0,40
209,42,13,1,35
210,43,13,0,40
211,29,13,1,40
212,27,9,0,40
213,56,13,1,40
214,20,5,1,20
215,26,10,1,40
216,31,11,0,50
217,49,11,0,60
218,58,9,0,36
219,76,6,1,12
220,30,13,0,52
221,25,10,0,25
222,30,10,1,40
223,32,13,0,55
224,26,14,1,40
225,22,5,1,40
226,37,5,1,16
227,42,14,0,40
228,57,9,1,40
229,32,9,1,50
230,58,4,0,24
231,39,15,0,65
232,60,7,0,20
233,44,10,0,40
234,21,10,0,20
235,26,13,0,15
236,37,13,0,45
237,56,9,0,40
238,23,9,0,40
239,50,15,0,60
240,55,9,0,50
241,34,14,0,55
242,36,9,1,40
243,32,13,0,40
244,69,9,0,40
245,41,14,1,40
246,20,9,1,10
247,22,10,0,40
248,21,4,0,48
249,44,10,1,40
250,18,7,0,20
251,27,13,1,40
252,39,9,0,40
253,36,9,0,33
254,23,9,0,40
255,24,13,0,45
256,43,10,1,50
257,56,9,0,40
258,46,7,1,27
259,40,12,1,32
260,42,13,0,70
261,74,9,0,30
262,46,3,1,45
263,33,9,1,52
264,47,10,0,40
265,52,5,1,30
266,51,14,1,50
267,36,16,0,45
268,38,13,0,40
269,42,9,1,40
270,25,8,0,40
271,19,10,0,35
272,32,9,0,35
273,22,9,1,40
274,41,7,1,25
275,39,9,0,40
276,22,13,0,40
277,57,9,1,40
278,50,9,1,48
279,45,15,0,40
280,31,13,0,40
281,38,13,1,40
282,27,9,0,40
283,28,10,0,40
284,39,14,0,40
285,24,13,0,40
286,37,9,0,40
287,53,9,0,50
288,63,14,1,40
289,35,4,0,40
290,53,6,0,40
291,41,14,0,70
292,45,13,0,38
293,47,13,0,40
294,46,14,1,50
295,26,8,0,48
296,17,7,0,12
297,25,13,0,40
298,44,13,0,30
299,76,10,0,20
300,41,9,0,40
301,18,6,0,11
302,47,9,0,60
303,49,10,0,50
304,24,10,1,40
305,44,10,0,40
306,34,9,0,40
307,49,4,0,40
308,23,11,0,40
309,19,9,1,14
310,49,10,1,40
311,44,9,0,60
312,27,4,0,35
313,54,9,0,50
314,55,10,1,40
315,22,9,1,60
316,44,13,1,60
317,31,11,0,40
318,84,13,0,20
319,19,9,1,40
320,22,8,0,40
321,73,9,0,40
322,59,5,1,40
323,40,11,1,50
324,47,13,0,45
325,46,9,0,40
326,52,10,0,40
327,20,9,1,30
328,33,13,0,42
329,29,13,0,30
330,39,15,0,50
331,63,9,1,20
332,60,5,0,40
333,21,10,0,12
334,18,7,0,30
335,20,10,1,20
336,58,10,0,40
337,27,9,0,40
338,41,8,1,10
339,44,9,0,45
340,24,14,1,10
341,35,11,0,50
342,33,14,0,30
343,38,13,1,40
344,51,16,0,40
345,44,14,0,40
346,46,10,0,58
347,53,9,0,40
348,20,9,0,40
349,37,9,1,56
350,52,9,0,50
351,39,13,0,40
352,41,10,0,40
353,39,13,0,50
354,52,10,0,40
355,36,13,1,40
356,49,10,0,40
357,63,6,0,45
358,33,10,0,40
359,49,14,1,40
360,54,13,0,38
361,22,7,1,40
362,40,13,1,48
363,43,15,0,50
364,34,10,0,40
365,34,9,0,40
366,27,13,0,45
367,29,9,0,40
368,28,12,0,40
369,67,10,0,70
370,47,15,0,40
371,51,16,0,40
372,48,13,0,45
373,48,15,0,60
374,23,9,0,60
375,23,10,0,40
376,26,9,1,40
377,20,10,1,30
378,40,9,1,40
379,23,13,0,40
380,29,6,1,40
381,34,13,1,40
382,45,14,1,15
383,23,8,1,30
384,52,10,0,45
385,32,5,0,40
386,29,6,0,40
387,31,10,1,35
388,43,9,0,40
389,26,12,0,45
390,20,10,0,25
391,21,10,0,15
392,35,11,1,44
393,17,5,0,40
394,18,7,0,15
395,31,7,0,40
396,25,13,0,40
397,29,9,1,40
398,18,8,1,25
399,18,8,1,20
400,59,6,0,40
401,50,9,0,50
402,22,11,0,30
403,41,9,0,40
404,18,6,0,30
405,24,9,1,30
406,46,5,1,40
407,66,10,0,20
408,50,14,0,60
409,34,5,0,50
410,35,13,0,40
411,20,9,0,35
412,41,10,0,40
413,44,14,0,60
414,32,13,0,40
415,41,11,0,40
416,24,7,0,40
417,40,12,1,50
418,25,13,0,70
419,33,11,1,40
420,20,6,0,50
421,21,10,1,20
422,26,10,0,40
423,29,3,0,40
424,41,9,1,40
425,55,9,1,30
426,55,5,1,23
427,33,14,0,40
428,19,10,1,30
429,44,9,1,30
430,17,7,1,16
431,44,14,0,45
432,46,9,0,44
433,22,9,0,40
434,47,9,0,45
435,61,10,0,60
436,24,10,0,40
437,50,9,0,40
438,65,10,0,40
439,28,13,0,40
440,45,11,0,40
441,29,9,0,40
442,40,9,1,45
443,37,10,0,55
444,30,13,0,40
445,81,10,0,15
446,38,13,0,40
447,40,14,0,40
448,26,10,1,20
449,42,14,0,60
450,20,10,0,40
451,29,13,0,45
452,33,9,0,40
453,61,10,0,40
454,45,9,0,40
455,59,10,0,40
456,24,9,1,35
457,47,14,0,60
458,35,9,0,40
459,21,10,1,20
460,21,11,0,40
461,24,13,0,40
462,22,13,1,35
463,41,9,0,48
464,25,10,0,35
465,46,12,0,40
466,51,14,0,40
467,18,7,0,35
468,45,9,1,50
469,33,10,0,39
470,38,11,1,36
471,50,14,0,40
472,37,13,0,40
473,28,10,0,40
474,66,10,0,40
475,53,16,0,50
476,31,16,0,55
477,45,13,0,40
478,36,9,0,60
479,30,11,0,40
480,45,9,0,40
481,43,4,0,40
482,29,14,0,50
483,39,5,0,40
484,17,6,0,30
485,41,9,0,40
486,41,9,0,40
487,51,11,0,50
488,37,9,0,40
489,44,11,0,40
490,26,9,1,40
491,38,9,1,40
492,45,13,0,52
493,33,5,0,70
494,35,9,0,40
495,77,10,0,40
496,60,10,0,24
497,58,13,0,58
498,35,11,1,40
499,35,13,1,40
500,46,12,0,40
501,57,6,1,40
502,23,12,0,40
503,42,9,0,60
504,38,12,1,40
505,19,10,1,40
506,33,9,0,35
507,40,13,1,40
508,21,9,0,40
509,33,9,0,60
510,35,4,1,40
511,27,14,0,40
512,35,9,0,40
513,30,1,0,40
514,21,9,0,40
515,33,13,1,40
516,23,10,0,40
517,23,11,1,40
518,25,13,1,40
519,17,7,1,20
520,34,7,0,40
521,53,16,0,40
522,26,13,1,35
523,36,9,0,50
524,24,9,0,60
525,34,10,1,50
526,38,9,1,40
527,38,7,0,40
528,41,14,0,40
529,34,9,1,20
530,35,13,1,40
531,59,14,0,60
532,67,6,0,20
533,47,13,0,60
534,26,13,0,50
535,58,9,0,55
536,20,10,1,20
537,21,10,1,40
538,32,9,1,40
539,28,6,1,40
540,32,10,0,40
541,24,9,0,50
542,38,13,0,50
543,18,8,0,12
544,31,9,0,40
545,24,9,0,40
546,65,10,0,40
547,26,10,1,35
548,22,9,1,40
549,56,9,0,45
550,47,10,1,40
551,21,10,1,40
552,46,7,1,40
553,21,9,1,35
554,46,9,0,36
555,51,9,0,60
556,33,13,0,40
557,35,14,1,50
558,33,10,1,40
559,36,12,0,35
560,31,12,0,20
561,54,10,0,45
562,53,5,0,40
563,40,12,1,40
564,42,13,0,40
565,46,9,1,40
566,34,14,0,38
567,57,10,0,45
568,20,9,1,40
569,25,4,0,40
570,41,9,0,50
571,66,9,1,20
572,31,9,0,40
573,31,12,1,40
574,55,11,1,35
575,55,9,0,40
576,67,5,1,40
577,42,11,0,50
578,33,5,0,35
579,51,9,0,40
580,69,9,1,40
581,25,9,0,40
582,36,14,1,40
583,30,9,0,60
584,58,9,0,40
585,48,9,0,50
586,62,10,1,40
587,28,12,0,40
588,40,14,0,40
589,21,10,1,20
590,18,10,0,30
591,27,10,1,48
592,30,7,0,40
593,19,9,1,40
594,36,13,0,44
595,22,13,1,60
596,53,6,1,40
597,54,9,0,40
598,55,10,1,38
599,42,10,1,40
600,18,7,0,12
601,63,9,0,45
602,30,10,0,50
603,57,10,0,38
604,62,9,0,60
605,28,9,1,40
606,21,6,1,39
607,19,9,0,30
608,43,13,1,80
609,48,10,0,40
610,30,12,1,40
611,41,10,0,40
612,44,7,0,88
613,40,9,0,40
614,42,9,0,12
615,25,11,0,75
616,35,10,0,40
617,34,10,1,20
618,32,9,0,40
619,36,11,0,50
620,40,9,0,40
621,44,11,0,40
622,24,10,0,60
623,18,7,1,10
624,19,10,1,30
625,46,13,0,35
626,31,11,0,45
627,36,3,0,40
628,26,10,1,40
629,23,10,0,40
630,42,9,1,40
631,27,9,0,40
632,22,10,0,50
633,43,15,0,40
634,36,13,0,40
635,22,4,0,40
636,40,10,0,32
637,29,9,1,40
638,31,9,1,55
639,73,8,0,18
640,56,9,1,40
641,48,9,0,40
642,30,13,0,45
643,22,10,0,30
644,34,10,0,40
645,37,6,0,35
646,24,8,0,40
647,44,13,0,60
648,69,4,0,55
649,38,9,0,40
650,67,9,1,2
651,35,13,0,40
652,38,10,0,40
653,43,10,0,40
654,53,10,1,40
655,19,9,0,20
656,20,10,0,16
657,33,9,0,40
658,37,9,0,40
659,30,9,1,40
660,50,10,0,60
661,30,10,0,40
662,57,13,0,35
663,40,12,1,40
664,46,7,0,40
665,50,9,0,50
666,45,9,0,50
667,20,10,0,30
668,37,9,0,40
669,24,13,0,35
670,37,14,0,40
671,34,13,0,55
672,39,15,0,45
673,52,9,0,40
674,22,12,1,25
675,24,10,1,45
676,57,14,0,60
677,20,9,1,24
678,28,13,1,40
679,46,8,0,35
680,37,3,0,40
681,43,9,1,24
682,19,10,1,40
683,24,5,1,20
684,31,9,0,40
685,75,13,0,48
686,48,10,0,40
687,31,8,0,50
688,39,13,0,60
689,37,13,0,50
690,34,10,1,34
691,28,8,1,30
692,53,12,0,40
693,36,9,0,40
694,40,10,0,50
695,57,6,1,70
696,48,9,1,40
697,31,13,0,97
698,36,13,1,40
699,55,9,1,40
700,31,13,1,35
701,58,9,0,50
702,34,9,0,40
703,38,13,0,50
704,46,11,0,60
705,42,10,0,40
706,30,12,1,40
707,18,8,0,40
708,23,11,1,36
709,59,6,1,50
710,46,13,0,40
711,36,14,1,40
712,26,10,0,40
713,25,10,1,15
714,27,9,1,40
715,26,10,1,24
716,31,10,1,20
717,20,10,1,25
718,33,13,1,50
719,44,9,1,40
720,27,9,1,40
721,46,9,0,35
722,23,10,0,40
723,29,9,0,40
724,76,14,0,30
725,19,3,0,50
726,35,13,0,50
727,63,13,0,32
728,33,6,0,40
729,17,7,1,8
730,29,9,1,40
731,60,9,0,5
732,45,14,0,55
733,24,10,1,45
734,60,9,1,33
735,29,10,1,40
736,55,9,1,20
737,17,5,0,40
738,35,10,1,40
739,39,9,0,40
740,42,9,0,40
741,24,13,1,8
742,43,10,0,50
743,32,9,1,2
744,28,13,0,40
745,18,10,1,40
746,42,9,1,40
747,22,10,1,40
748,19,9,1,40
749,59,10,0,40
750,32,9,0,50
751,68,7,0,70
752,60,4,0,40
753,38,9,0,48
754,27,11,0,35
755,47,9,1,40
756,41,9,0,40
757,50,10,1,28
758,44,10,0,40
759,25,9,1,30
760,45,13,1,42
761,77,5,0,40
762,45,10,1,40
763,55,9,0,55
764,23,9,0,40
765,45,13,0,50
766,33,12,1,40
767,18,7,1,8
768,42,12,0,40
769,60,14,0,40
770,33,13,0,55
771,23,10,0,40
772,42,10,0,40
773,38,15,0,60
774,27,12,1,78
775,30,9,0,40
776,47,6,0,40
777,55,14,0,50
778,38,10,0,58
779,37,9,1,25
780,37,11,0,40
781,24,9,1,49
782,35,10,0,35
783,37,13,0,45
784,40,13,0,60
785,35,13,0,40
786,49,13,0,40
787,27,10,1,40
788,48,14,0,40
789,43,10,0,60
790,24,9,0,40
791,35,9,0,40
792,51,9,0,40
793,32,15,0,40
794,26,10,0,40
795,37,9,1,40
796,59,9,0,52
797,26,9,0,40
798,45,13,0,30
799,51,4,0,50
800,23,8,0,40
801,46,9,0,40
802,28,9,0,45
803,48,6,1,38
804,47,10,1,35
805,48,6,0,70
806,67,10,0,44
807,49,13,0,40
808,27,9,0,40
809,45,4,1,35
810,27,9,0,40
811,57,6,0,60
812,42,9,1,40
813,29,13,0,40
814,49,13,0,45
815,41,4,0,40
816,44,12,0,40
817,39,7,0,40
818,20,10,1,40
819,42,9,1,45
820,25,13,0,40
821,21,10,0,40
822,48,7,1,35
823,30,13,1,40
824,30,5,1,40
825,56,9,0,40
826,30,9,0,38
827,26,9,1,40
828,25,2,1,40
829,49,10,1,60
830,44,14,0,35
831,73,6,1,40
832,38,9,0,50
833,39,10,0,43
834,49,4,0,32
835,22,10,0,40
836,31,11,0,40
837,42,9,0,40
838,34,9,0,40
839,35,14,0,40
840,49,9,1,35
841,22,13,1,43
842,32,11,0,40
843,30,12,0,60
844,28,9,0,40
845,26,11,1,35
846,79,7,0,7
847,23,10,0,45
848,57,13,0,80
849,54,10,0,40
850,23,10,0,10
851,36,12,0,60
852,51,9,0,40
853,45,14,1,40
854,39,9,1,40
855,39,9,0,40
856,40,13,1,20
857,32,3,0,40
858,30,9,1,40
859,32,10,1,40
860,47,4,0,40
861,18,7,0,40
862,25,13,0,60
863,29,9,0,40
864,52,9,0,40
865,61,5,1,40
866,49,9,0,48
867,47,9,1,45
868,25,10,0,40
869,61,10,1,40
870,19,9,0,30
871,21,9,1,40
872,57,14,0,40
873,48,9,0,70
874,54,11,0,50
875,52,6,0,30
876,53,9,1,40
877,27,10,0,50
878,41,9,1,30
879,18,9,1,15
880,63,10,1,35
881,48,12,0,40
882,43,10,1,40
883,51,10,1,40
884,26,10,1,40
885,61,9,0,48
886,26,13,0,48
887,30,9,0,40
888,37,13,0,77
889,51,13,0,20
890,32,10,0,40
891,38,9,0,35
892,42,10,0,25
893,36,9,0,60
894,90,14,0,60
895,73,7,0,3
896,31,9,0,40
897,23,4,0,25
898,34,10,0,60
899,38,13,0,40
900,49,14,0,40
901,25,12,0,40
902,18,9,0,20
903,18,9,0,40
904,43,9,0,40
905,60,4,1,35
906,37,10,0,40
907,20,10,1,20
908,50,10,0,40
909,43,10,0,40
910,45,10,0,50
911,32,11,0,55
912,25,9,0,40
913,66,9,1,25
914,51,9,0,40
915,32,9,1,32
916,30,9,0,44
917,52,9,0,60
918,28,10,0,40
919,90,7,0,40
920,39,10,1,30
921,54,7,1,10
922,32,9,1,13
923,52,9,0,20
924,43,10,1,10
925,33,10,0,52
926,53,13,0,45
927,18,6,0,6
928,45,10,0,45
929,34,10,0,50
930,51,9,0,60
931,28,10,1,40
932,35,9,1,40
933,55,11,1,40
934,49,10,0,40
935,31,10,0,40
936,20,10,1,10
937,34,13,0,65
938,51,9,0,40
939,18,10,0,40
940,46,9,1,40
941,20,6,0,40
942,30,9,0,41
943,24,13,0,30
944,51,10,1,45
945,36,9,1,36
946,23,4,0,35
947,67,9,1,15
948,37,9,0,42
949,61,4,1,40
950,44,10,0,50
951,43,10,1,40
952,44,11,0,40
953,42,10,1,40
954,60,6,0,40
955,26,10,0,60
956,42,10,1,25
957,18,7,0,20
958,25,14,1,40
959,24,11,1,40
960,33,14,1,40
961,20,10,0,35
962,31,13,1,40
963,46,9,1,40
964,20,10,0,40
965,28,10,1,40
966,24,13,0,48
967,38,9,1,40
968,50,9,1,35
969,18,10,0,30
970,31,10,0,45
971,47,9,0,45
972,23,10,0,40
973,47,15,0,50
974,19,10,0,25
975,43,14,0,40
976,22,9,0,40
977,25,9,0,40
978,22,10,0,40
979,39,13,0,40
980,27,6,0,48
981,25,5,0,40
982,44,14,0,42
983,28,13,0,45
984,32,9,1,35
985,62,13,1,40
986,47,9,0,40
987,40,10,1,55
988,32,9,1,40
989,17,7,1,25
990,49,11,0,45
991,28,9,0,40
992,60,13,0,8
993,32,9,0,60
994,41,10,0,33
995,27,10,0,40
996,25,10,1,8
997,41,13,1,40
998,45,11,1,40
999,34,9,1,32
1000,59,5,0,40
1001,31,10,0,50
1002,38,6,0,90
1003,45,10,1,45
1004,31,11,1,40
1005,29,9,0,40
1006,19,7,0,40
1007,36,9,0,60
1008,31,10,1,70
1009,17,7,0,16
1010,34,9,0,50
1011,58,9,1,40
1012,42,9,1,40
1013,49,3,0,40
1014,65,10,0,35
1015,24,9,1,40
1016,28,14,0,45
1017,63,9,0,48
1018,46,13,0,50
1019,35,9,1,12
1020,26,13,1,40
1021,54,10,0,54
1022,51,10,1,40
1023,39,13,0,40
1024,39,9,0,40
1025,45,10,1,40
1026,43,10,0,60
1027,40,6,0,50
1028,19,10,1,10
1029,29,9,1,40
1030,38,9,0,44
1031,29,10,0,45
1032,47,9,0,60
1033,34,9,0,40
1034,35,6,1,16
1035,47,9,0,32
1036,22,13,1,10
1037,39,10,0,90
1038,19,4,0,25
1039,24,13,0,45
1040,45,10,0,42
1041,39,7,0,37
1042,39,16,0,45
1043,19,10,0,55
1044,41,9,1,38
1045,46,14,0,50
1046,48,13,0,45
1047,34,13,0,55
1048,30,9,0,30
1049,33,10,0,36
1050,29,10,0,50
1051,42,9,0,48
1052,52,13,0,40
1053,26,4,0,48
1054,17,7,1,15
1055,59,9,0,48
1056,50,9,1,40
1057,32,13,0,45
1058,70,13,0,6
1059,59,2,0,40
1060,25,10,1,50
1061,36,12,1,42
1062,80,4,1,24
1063,18,9,0,20
1064,45,10,0,65
1065,24,5,0,12
1066,37,10,0,45
1067,52,9,1,40
1068,40,13,0,45
1069,27,10,0,20
1070,22,10,1,25
1071,23,10,0,25
1072,63,13,0,30
1073,24,13,0,45
1074,42,9,0,48
1075,30,9,1,20
1076,47,13,0,60
1077,46,10,0,40
1078,30,9,1,40
1079,29,10,1,24
1080,42,10,0,40
1081,42,14,0,65
1082,31,6,1,40
1083,32,13,0,40
1084,40,9,1,20
1085,49,14,1,50
1086,58,9,0,40
1087,81,9,1,35
1088,58,9,0,40
1089,56,7,1,40
1090,41,9,1,40
1091,30,9,0,40
1092,26,10,0,40
1093,37,9,0,40
1094,44,9,0,40
1095,24,13,0,60
1096,23,13,1,40
1097,35,9,1,75
1098,40,9,1,37
1099,21,9,1,40
1100,47,9,0,40
1101,40,6,1,32
1102,37,12,1,40
1103,35,9,1,35
1104,58,2,0,38
1105,37,16,1,35
1106,36,13,1,60
1107,26,9,0,60
1108,52,15,0,60
1109,18,10,0,16
1110,52,1,0,40
1111,61,4,0,50
1112,60,9,0,40
1113,32,7,0,45
1114,24,9,1,40
1115,36,9,1,40
1116,43,13,0,40
1117,35,13,1,42
1118,55,13,0,50
1119,33,9,0,40
1120,31,13,1,35
1121,26,13,0,45
1122,37,9,1,60
1123,33,11,0,60
1124,35,9,1,38
1125,34,11,1,40
1126,70,15,0,25
1127,23,9,0,40
1128,35,9,0,40
1129,76,6,0,1
1130,52,10,1,40
1131,36,9,0,40
1132,22,9,0,40
1133,43,13,0,40
1134,27,9,1,40
1135,40,8,0,40
1136,25,13,1,20
1137,34,9,0,40
1138,40,14,0,43
1139,29,13,0,40
1140,28,10,0,50
1141,57,14,0,40
1142,22,9,0,16
1143,23,9,0,40
1144,43,13,0,40
1145,33,9,0,40
1146,39,13,0,40
1147,34,11,0,45
1148,21,9,0,22
1149,49,10,0,60
1150,42,14,0,50
1151,60,9,0,40
1152,42,10,0,40
1153,43,10,1,38
1154,41,14,0,38
1155,36,13,1,45
1156,47,7,0,58
1157,48,14,1,50
1158,45,13,0,50
1159,19,10,1,40
1160,26,10,0,44
1161,34,10,0,40
1162,47,15,0,50
1163,44,14,0,40
1164,22,13,1,10
1165,25,12,1,40
1166,38,12,1,16
1167,27,6,0,60
1168,26,10,0,20
1169,25,10,1,30
1170,65,9,0,40
1171,25,11,0,40
1172,61,13,1,30
1173,36,16,0,40
1174,53,9,0,40
1175,26,10,0,42
1176,26,6,1,40
1177,43,9,0,40
1178,39,9,0,40
1179,53,10,0,50
1180,33,9,1,50
1181,35,10,0,80
1182,25,13,0,50
1183,47,9,0,55
1184,18,10,1,30
1185,72,2,0,40
1186,30,14,0,40
1187,38,15,0,45
1188,17,6,0,10
1189,30,13,1,40
1190,48,14,0,40
1191,40,10,1,44
1192,34,9,0,54
1193,54,9,0,50
1194,57,14,0,60
1195,19,9,0,20
1196,19,6,1,40
1197,32,15,0,40
1198,23,10,0,20
1199,32,10,1,50
1200,41,9,0,4
1201,41,9,0,55
1202,18,5,0,15
1203,29,9,0,40
1204,20,10,0,25
1205,36,9,0,40
1206,50,9,0,40
1207,27,9,0,40
1208,60,9,0,45
1209,43,15,0,30
1210,29,13,0,40
1211,51,11,0,40
1212,35,7,1,60
1213,25,10,0,40
1214,43,14,0,40
1215,49,3,0,40
1216,30,4,0,45
1217,53,14,0,60
1218,19,9,0,40
1219,34,9,0,50
1220,34,14,0,50
1221,39,10,1,45
1222,61,9,1,36
1223,27,9,1,25
1224,61,10,0,40
1225,36,9,0,55
1226,27,13,0,50
1227,40,4,0,42
1228,45,9,0,40
1229,29,13,0,40
1230,53,13,0,40
1231,62,3,0,24
1232,52,9,0,55
1233,23,9,0,40
1234,32,13,0,40
1235,45,14,0,55
1236,38,9,0,56
1237,74,3,0,56
1238,22,6,0,40
1239,45,16,0,50
1240,90,5,1,40
1241,39,9,1,40
1242,55,9,1,30
1243,47,10,1,40
1244,57,10,0,40
1245,28,9,1,40
1246,33,10,0,55
1247,32,9,0,50
1248,37,13,1,40
1249,61,9,1,40
1250,37,9,1,30
1251,20,10,0,15
1252,51,13,0,35
1253,38,14,0,45
1254,28,9,0,45
1255,39,9,1,40
1256,49,9,1,30
1257,42,13,0,90
1258,42,12,1,40
1259,34,11,1,40
1260,25,9,1,40
1261,36,9,1,40
1262,18,9,0,20
1263,31,10,0,40
1264,24,10,0,40
1265,64,14,0,60
1266,24,13,0,40
1267,43,9,0,40
1268,33,9,0,50
1269,36,10,1,40
1270,43,9,1,21
1271,54,10,1,48
1272,55,4,0,50
1273,53,6,0,40
1274,46,9,1,24
1275,24,9,0,30
1276,60,9,0,42
1277,34,9,1,45
1278,43,9,0,40
1279,63,9,0,40
1280,45,14,1,42
1281,54,13,0,40
1282,24,12,0,40
1283,31,13,1,20
1284,18,9,1,20
1285,79,9,1,24
1286,34,5,0,40
1287,44,9,0,40
1288,37,9,0,40
1289,57,15,0,60
1290,49,4,0,38
1291,41,10,1,15
1292,29,11,1,64
1293,25,10,1,20
1294,49,4,0,45
1295,22,13,0,8
1296,33,6,1,35
1297,45,9,0,42
1298,26,10,0,45
1299,60,6,0,40
1300,36,10,1,50
1301,19,9,0,40
1302,40,9,0,40
1303,35,11,1,40
1304,29,11,1,40
1305,27,13,1,40
1306,67,14,0,48
1307,23,10,0,50
1308,31,10,0,40
1309,43,6,0,40
1310,20,9,0,20
1311,19,9,1,25
1312,36,14,0,45
1313,69,10,1,24
1314,24,9,0,40
1315,44,10,0,50
1316,69,10,1,38
1317,44,10,1,40
1318,43,13,0,40
1319,45,13,0,40
1320,21,12,1,46
1321,21,10,1,35
1322,42,15,0,72
1323,48,10,0,53
1324,39,9,0,40
1325,34,10,1,40
1326,40,10,1,40
1327,24,9,0,40
1328,54,10,1,40
1329,26,10,1,40
1330,64,10,0,40
1331,33,9,0,40
1332,40,15,0,55
1333,45,10,0,40
1334,21,10,0,24
1335,73,9,1,8
1336,32,9,0,80
1337,59,13,0,38
1338,38,3,0,40
1339,23,9,0,40
1340,28,13,0,50
1341,43,9,0,40
1342,39,9,0,56
1343,59,9,1,40
1344,56,14,0,60
1345,43,7,0,60
1346,55,9,0,45
1347,29,16,0,60
1348,37,10,0,50
1349,22,10,1,10
1350,24,9,0,50
1351,45,13,1,46
1352,39,13,0,55
1353,34,9,0,50
1354,27,10,1,40
1355,25,9,0,26
1356,24,9,0,50
1357,18,10,1,6
1358,67,14,1,40
1359,55,9,0,60
